Date,Source,Type,Unit,Value
2024-07-18T18:49:01-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,140
2024-07-18T18:49:08-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,135
2024-07-18T18:49:14-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,129
2024-07-18T18:49:21-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,133
2024-07-18T18:49:28-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,127
2024-07-18T18:49:34-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,124
2024-07-18T18:49:41-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,125
2024-07-18T18:49:48-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,124
2024-07-18T18:49:55-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,119
2024-07-18T18:50:01-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,118
2024-07-18T18:50:08-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,116
2024-07-18T18:50:15-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,117
2024-07-18T18:50:22-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,122
2024-07-18T18:50:28-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,118
2024-07-18T18:50:35-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,125
2024-07-18T18:50:42-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,132
2024-07-18T18:50:48-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,140
2024-07-18T18:50:55-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,147
2024-07-18T18:51:02-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,156
2024-07-18T18:51:09-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,146
2024-07-18T18:51:15-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,146
2024-07-18T18:51:22-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,146
2024-07-18T18:51:29-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,149
2024-07-18T18:51:36-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,142
2024-07-18T18:51:42-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,144
2024-07-18T18:51:49-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,140
2024-07-18T18:51:56-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,135
2024-07-18T18:52:03-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,129
2024-07-18T18:52:09-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,121
2024-07-18T18:52:16-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,118
2024-07-18T18:52:23-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,117
2024-07-18T18:52:29-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,124
2024-07-18T18:52:36-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,125
2024-07-18T18:52:43-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,123
2024-07-18T18:52:50-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,119
2024-07-18T18:52:56-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,115
2024-07-18T18:53:03-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,118
2024-07-18T18:53:10-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,130
2024-07-18T18:53:17-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,135
2024-07-18T18:53:23-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,141
2024-07-18T18:53:30-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,145
2024-07-18T18:53:37-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,147
2024-07-18T18:53:43-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,148
2024-07-18T18:53:50-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,151
2024-07-18T18:53:57-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,153
2024-07-18T18:54:04-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,156
2024-07-18T18:54:10-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,162
2024-07-18T18:54:17-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,167
2024-07-18T18:54:24-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,168
2024-07-18T18:54:31-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,164
2024-07-18T18:54:37-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,159
2024-07-18T18:54:44-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,151
2024-07-18T18:54:51-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,140
2024-07-18T18:54:57-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,135
2024-07-18T18:55:04-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,130
2024-07-18T18:55:11-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,130
2024-07-18T18:55:18-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,132
2024-07-18T18:55:24-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,141
2024-07-18T18:55:31-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,146
2024-07-18T18:55:38-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,150
2024-07-18T18:55:45-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,150
2024-07-18T18:55:51-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,151
2024-07-18T18:55:58-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,154
2024-07-18T18:56:05-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,154
2024-07-18T18:56:11-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,149
2024-07-18T18:56:18-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,150
2024-07-18T18:56:25-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,154
2024-07-18T18:56:32-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,158
2024-07-18T18:56:38-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,163
2024-07-18T18:56:45-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,163
2024-07-18T18:56:52-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,156
2024-07-18T18:56:59-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,149
2024-07-18T18:57:05-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,144
2024-07-18T18:57:12-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,140
2024-07-18T18:57:19-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,134
2024-07-18T18:57:26-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,136
2024-07-18T18:57:32-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,139
2024-07-18T18:57:39-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,142
2024-07-18T18:57:46-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,148
2024-07-18T18:57:52-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,152
2024-07-18T18:57:59-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,155
2024-07-18T18:58:06-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,162
2024-07-18T18:58:13-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,163
2024-07-18T18:58:19-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,168
2024-07-18T18:58:26-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,165
2024-07-18T18:58:33-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,170
2024-07-18T18:58:40-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,168
2024-07-18T18:58:46-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,165
2024-07-18T18:58:53-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,161
2024-07-18T18:59:00-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,155
2024-07-18T18:59:06-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,147
2024-07-18T18:59:13-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,147
2024-07-18T18:59:20-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,141
2024-07-18T18:59:27-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,134
2024-07-18T18:59:33-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,129
2024-07-18T18:59:40-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,124
2024-07-18T18:59:47-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,123
2024-07-18T18:59:54-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,122
2024-07-18T19:00:00-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,121
2024-07-18T19:00:07-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,125
2024-07-18T19:00:14-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,133
2024-07-18T19:00:20-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,146
2024-07-18T19:00:27-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,152
2024-07-18T19:00:34-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,153
2024-07-18T19:00:41-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,152
2024-07-18T19:00:47-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,151
2024-07-18T19:00:54-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,153
2024-07-18T19:01:01-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,159
2024-07-18T19:01:08-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,162
2024-07-18T19:01:14-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,162
2024-07-18T19:01:21-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,164
2024-07-18T19:01:28-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,166
2024-07-18T19:01:34-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,172
2024-07-18T19:01:41-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,169
2024-07-18T19:01:48-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,164
2024-07-18T19:01:55-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,155
2024-07-18T19:02:01-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,147
2024-07-18T19:02:08-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,139
2024-07-18T19:02:15-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,136
2024-07-18T19:02:22-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,132
2024-07-18T19:02:28-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,132
2024-07-18T19:02:35-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,129
2024-07-18T19:02:42-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,127
2024-07-18T19:02:49-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,132
2024-07-18T19:02:55-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,132
2024-07-18T19:03:02-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,135
2024-07-18T19:03:09-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,139
2024-07-18T19:03:15-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,147
2024-07-18T19:03:22-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,145
2024-07-18T19:03:29-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,148
2024-07-18T19:03:36-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,155
2024-07-18T19:03:42-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,157
2024-07-18T19:03:49-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,164
2024-07-18T19:03:56-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,165
2024-07-18T19:04:03-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,165
2024-07-18T19:04:09-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,160
2024-07-18T19:04:16-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,153
2024-07-18T19:04:23-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,150
2024-07-18T19:04:29-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,149
2024-07-18T19:04:36-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,148
2024-07-18T19:04:43-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,146
2024-07-18T19:04:50-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,140
2024-07-18T19:04:56-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,133
2024-07-18T19:05:03-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,132
2024-07-18T19:05:10-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,125
2024-07-18T19:05:17-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,125
2024-07-18T19:05:23-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,122
2024-07-18T19:05:30-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,114
2024-07-18T19:05:37-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,117
2024-07-18T19:05:43-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,116
2024-07-18T19:05:50-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,118
2024-07-18T19:05:57-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,121
2024-07-18T19:06:04-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,117
2024-07-18T19:06:10-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,119
2024-07-18T19:06:17-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,119
2024-07-18T19:06:24-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,119
2024-07-18T19:06:31-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,119
2024-07-18T19:06:37-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,122
2024-07-18T19:06:44-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,124
2024-07-18T19:06:51-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,125
2024-07-18T19:06:57-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,124
2024-07-18T19:07:04-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,120
2024-07-18T19:07:11-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,120
2024-07-18T19:07:18-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,124
2024-07-18T19:07:24-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,121
2024-07-18T19:07:31-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,121
2024-07-18T19:07:38-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,118
2024-07-18T19:07:45-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,113
2024-07-18T19:07:51-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,114
2024-07-18T19:07:58-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,115
2024-07-18T19:08:05-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,116
2024-07-18T19:08:11-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,112
2024-07-18T19:08:18-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,111
2024-07-18T19:08:25-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,110
2024-07-18T19:08:32-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,109
2024-07-18T19:08:38-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,112
2024-07-18T19:08:45-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,114
2024-07-18T19:08:52-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,115
2024-07-18T19:08:59-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,114
2024-07-18T19:09:05-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,113
2024-07-18T19:09:12-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,116
2024-07-18T19:09:19-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,113
2024-07-18T19:09:26-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,109
2024-07-18T19:09:32-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,106
2024-07-18T19:09:39-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,105
2024-07-18T19:09:46-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,109
2024-07-18T19:09:52-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,110
2024-07-18T19:09:59-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,113
2024-07-18T19:10:06-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,110
2024-07-18T19:10:13-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,103
2024-07-18T19:10:19-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,102
2024-07-18T19:10:26-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,106
2024-07-18T19:10:33-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,104
2024-07-18T19:10:40-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,100
2024-07-18T19:10:46-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,109
2024-07-18T19:10:53-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,120
2024-07-18T19:11:00-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,134
2024-07-18T19:11:06-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,147
2024-07-18T19:11:13-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,157
2024-07-18T19:11:20-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,158
2024-07-18T19:11:27-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,152
2024-07-18T19:11:33-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,156
2024-07-18T19:11:40-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,166
2024-07-18T19:11:47-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,165
2024-07-18T19:11:54-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,159
2024-07-18T19:12:00-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,157
2024-07-18T19:12:07-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,151
2024-07-18T19:12:14-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,143
2024-07-18T19:12:20-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,135
2024-07-18T19:12:27-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,129
2024-07-18T19:12:34-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,126
2024-07-18T19:12:41-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,130
2024-07-18T19:12:47-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,131
2024-07-18T19:12:54-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,143
2024-07-18T19:13:01-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,148
2024-07-18T19:13:08-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,148
2024-07-18T19:13:14-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,154
2024-07-18T19:13:21-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,161
2024-07-18T19:13:28-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,165
2024-07-18T19:13:34-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,170
2024-07-18T19:13:41-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,170
2024-07-18T19:13:48-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,174
2024-07-18T19:13:55-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,176
2024-07-18T19:14:01-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,175
2024-07-18T19:14:08-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,173
2024-07-18T19:14:15-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,170
2024-07-18T19:14:22-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,170
2024-07-18T19:14:28-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,166
2024-07-18T19:14:35-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,154
2024-07-18T19:14:42-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,149
2024-07-18T19:14:49-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,147
2024-07-18T19:14:55-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,144
2024-07-18T19:15:02-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,137
2024-07-18T19:15:09-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,133
2024-07-18T19:15:15-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,138
2024-07-18T19:15:22-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,146
2024-07-18T19:15:29-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,151
2024-07-18T19:15:36-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,158
2024-07-18T19:15:42-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,160
2024-07-18T19:15:49-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,162
2024-07-18T19:15:56-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,164
2024-07-18T19:16:03-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,162
2024-07-18T19:16:09-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,167
2024-07-18T19:16:16-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,177
2024-07-18T19:16:23-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,176
2024-07-18T19:16:29-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,180
2024-07-18T19:16:36-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,179
2024-07-18T19:16:43-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,176
2024-07-18T19:16:50-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,174
2024-07-18T19:16:56-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,167
2024-07-18T19:17:03-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,156
2024-07-18T19:17:10-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,151
2024-07-18T19:17:17-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,149
2024-07-18T19:17:23-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,140
2024-07-18T19:17:30-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,139
2024-07-18T19:17:37-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,134
2024-07-18T19:17:43-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,129
2024-07-18T19:17:50-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,126
2024-07-18T19:17:57-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,122
2024-07-18T19:18:04-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,126
